,,,ChangCTLvsMDD_ACC_Female,ChangCTLvsMDD_ACC_Male,ChangCTLvsMDD_DLPFC_Female,ChangCTLvsMDD_DLPFC_Male,female_ancg_dge,female_dlpfc_dge,female_nacc_dge,male_ancg_dge,male_dlpfc_dge,male_nAcc_dge
REGULATION OF LEUKOCYTE APOPTOTIC PROCESS,GOBP,GO:2000106,1.367090266,0,0,0,1.44980576,0,0,0,0,1.432256631
MUSCLE TISSUE DEVELOPMENT,GOBP,GO:0060537,0,0,0,0,0,2.016281579,0,0,1.889504996,1.804279697
PLASMA MEMBRANE BOUNDED CELL PROJECTION MORPHOGENESIS,GOBP,GO:0120039,3.165214271,1.464837118,0,2.993255715,0,0,0,0,0,0
NEGATIVE REGULATION OF LIPID BIOSYNTHETIC PROCESS,GOBP,GO:0051055,0,0,0,0,0,1.39328253,0,1.376583929,4.560022593,0
POSITIVE REGULATION OF CHROMATIN SILENCING,GOBP,GO:0031937,0,1.327561213,2.456631921,0,0,0,0,0,0,1.388876933
RESPONSE TO HOST,GOBP,GO:0075136,0,2.64897746,2.888790208,0,0,0,0,1.489421267,0,0
CELLULAR BIOGENIC AMINE METABOLIC PROCESS,GOBP,GO:0006576,0,0,0,1.45388272,0,0,1.310549877,1.687239495,0,0
TRANSLATIONAL INITIATION,GOBP,GO:0006413,0,1.595554113,0,0,0,0,0,3.478141824,0,25.58422962
CELLULAR RESPONSE TO ACID CHEMICAL,GOBP,GO:0071229,1.705548773,0,1.363843699,0,1.494748992,0,0,0,0,0
DNA REPLICATION INITIATION,GOBP,GO:0006270,0,0,0,1.933072867,0,0,0,1.585946182,2.152632427,0
GLUCOSE METABOLIC PROCESS,GOBP,GO:0006006,0,0,1.407548079,2.087376427,0,0,0,0,2.429397726,0
TRIF-DEPENDENT TOLL-LIKE RECEPTOR SIGNALING PATHWAY,GOBP,GO:0035666,0,2.190408808,0,0,0,0,0,1.363024217,0,1.496229169
POSITIVE REGULATION OF CELL CYCLE,GOBP,GO:0045787,0,0,3.864452387,0,0,3.15011524,0,1.377877116,0,0
REGULATION OF MRNA PROCESSING,GOBP,GO:0050684,1.677896401,0,2.152860242,2.0644514,0,0,0,0,0,0
REGULATION OF PURINE NUCLEOTIDE BIOSYNTHETIC PROCESS,GOBP,GO:1900371,0,0,0,1.49542354,0,0,0,1.958096635,0,4.810874276
POSITIVE REGULATION OF UBIQUITIN-PROTEIN TRANSFERASE ACTIVITY,GOBP,GO:0051443,0,0,1.720481234,0,1.44123403,0,0,1.976591747,0,0
APPENDAGE DEVELOPMENT,GOBP,GO:0048736,0,1.590562203,0,1.642466511,0,0,0,1.485316824,0,0
ESTABLISHMENT OF RNA LOCALIZATION,GOBP,GO:0051236,0,0,4.695666568,0,0,0,0,2.251633106,0,4.26161034
POSITIVE REGULATION OF MRNA METABOLIC PROCESS,GOBP,GO:1903313,0,0,1.735218498,0,0,0,0,2.785927814,0,1.335700116
NUCLEIC ACID TRANSPORT,GOBP,GO:0050657,0,0,4.303957447,0,0,0,0,1.873409425,0,4.31295759
NUCLEAR BODY ORGANIZATION,GOBP,GO:0030575,2.373899323,1.327561213,1.577084143,0,0,0,0,0,0,0
NEGATIVE REGULATION OF UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS,GOBP,GO:2000059,1.512950311,3.677268497,1.550701763,0,0,0,0,0,0,0
ELECTRON TRANSPORT CHAIN,GOBP,GO:0022900,0,0,1.445088885,0,0,0,0,2.228452393,0,9.209660771
CELLULAR RESPONSE TO HYDROGEN PEROXIDE,GOBP,GO:0070301,0,0,1.430425353,1.325306246,0,0,0,0,0,1.729014644
RIBONUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS,GOBP,GO:0009199,0,0,1.953161407,0,0,0,0,2.745899257,0,6.644014775
LIPID PHOSPHORYLATION,GOBP,GO:0046834,0,0,1.679603964,0,0,0,0,1.38825356,0,2.18213461
REGULATION OF STRESS FIBER ASSEMBLY,GOBP,GO:0051492,0,1.694003806,2.149456045,2.728124632,0,0,0,0,0,0
REGULATION OF EXTRACELLULAR MATRIX DISASSEMBLY,GOBP,GO:0010715,0,0,2.230020988,1.376165376,0,2.341275844,0,0,0,0
REGULATION OF LIPASE ACTIVITY,GOBP,GO:0060191,1.532082895,0,1.794451957,0,0,0,0,0,1.545882235,0
PALLIUM DEVELOPMENT,GOBP,GO:0021543,2.238929977,1.696565366,3.641920075,0,0,0,0,0,0,0
SKELETAL MUSCLE CELL DIFFERENTIATION,GOBP,GO:0035914,1.571472545,1.521375653,0,1.800918772,0,0,0,0,0,0
POSITIVE REGULATION OF TELOMERE MAINTENANCE,GOBP,GO:0032206,0,1.408549401,1.475230208,0,0,0,0,0,0,2.187010424
POSITIVE REGULATION OF ION TRANSPORT,GOBP,GO:0043270,0,1.416164366,0,0,0,2.526194189,0,1.584241333,0,0
POSITIVE REGULATION OF PROTEIN COMPLEX ASSEMBLY,GOBP,GO:0031334,1.444190024,0,4.691375087,0,0,0,0,0,0,1.910350593
SCHWANN CELL DEVELOPMENT,GOBP,GO:0014044,1.528193973,2.299864747,0,0,0,0,0,1.439614915,0,0
POSITIVE REGULATION OF TRIGLYCERIDE METABOLIC PROCESS,GOBP,GO:0090208,0,0,0,0,1.77199666,2.06768018,0,1.717365028,0,0
NEGATIVE REGULATION OF T-HELPER 17 CELL DIFFERENTIATION,GOBP,GO:2000320,0,0,0,0,0,0,0,1.489421267,1.806701649,1.587675409
POSITIVE REGULATION OF FAT CELL DIFFERENTIATION,GOBP,GO:0045600,0,0,0,1.345623955,0,0,2.173766871,0,1.544773967,0
LEARNING,GOBP,GO:0007612,0,0,1.313951069,0,0,0,0,1.647759266,2.617502096,0
CELLULAR RESPONSE TO STEROID HORMONE STIMULUS,GOBP,GO:0071383,0,0,0,0,0,0,0,3.535756572,1.430860798,1.369947378
WOUND HEALING,GOBP,GO:0042060,0,0,0,0,0,1.445400381,2.090311314,0,3.750185541,0
POSITIVE REGULATION OF MRNA CATABOLIC PROCESS,GOBP,GO:0061014,0,0,1.94897999,0,0,0,0,4.230671773,0,1.487351304
NEGATIVE REGULATION OF PHOSPHATASE ACTIVITY,GOBP,GO:0010923,0,1.323539892,0,0,0,1.53951061,0,0,1.417484295,0
AMMONIUM ION METABOLIC PROCESS,GOBP,GO:0097164,0,0,0,0,0,1.968239719,0,1.31167926,1.905125549,0
ENTRY INTO OTHER ORGANISM INVOLVED IN SYMBIOTIC INTERACTION,GOBP,GO:0051828,1.304393759,0,1.453715072,1.594414648,0,0,0,0,0,0
NEGATIVE REGULATION OF PROTEIN MODIFICATION BY SMALL PROTEIN CONJUGATION OR REMOVAL,GOBP,GO:1903321,0,0,0,1.944628232,0,0,0,5.337148667,0,3.571707541
ACTIVATION OF PROTEIN KINASE ACTIVITY,GOBP,GO:0032147,1.591725658,2.478130271,2.499906219,0,0,0,0,0,0,0
CELLULAR RESPONSE TO GAMMA RADIATION,GOBP,GO:0071480,0,0,0,0,0,0,0,3.134860967,1.88092342,2.420051723
RESPONSE TO INTERLEUKIN-2,GOBP,GO:0070669,0,1.387365162,1.666463967,1.545675784,0,0,0,0,0,0
CELLULAR RESPONSE TO FIBROBLAST GROWTH FACTOR STIMULUS,GOBP,GO:0044344,2.294411221,0,1.828290929,0,0,0,0,0,1.344061731,0
PURINE NUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS,GOBP,GO:0009144,0,0,2.298085931,0,0,0,0,2.78142203,0,6.705088615
POSITIVE REGULATION OF MITOCHONDRION ORGANIZATION,GOBP,GO:0010822,0,0,4.821369916,0,0,0,0,1.854406469,0,1.653766774
REGULATION OF TRIGLYCERIDE METABOLIC PROCESS,GOBP,GO:0090207,0,0,0,0,1.350610935,1.634761574,0,1.80430527,0,0
REGULATION OF T-HELPER 17 CELL DIFFERENTIATION,GOBP,GO:2000319,0,0,0,0,0,0,0,1.959568805,2.427715523,3.165805207
CELLULAR TRANSITION METAL ION HOMEOSTASIS,GOBP,GO:0046916,0,0,0,0,0,0,2.317360157,2.474862958,1.770847518,0
"NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS, NONSENSE-MEDIATED DECAY",GOBP,GO:0000184,0,2.001743354,0,0,0,0,0,4.857521,0,29.69267437
RNA LOCALIZATION,GOBP,GO:0006403,0,0,5.368344367,0,0,0,0,2.331327788,0,4.332340315
PURINE RIBONUCLEOTIDE METABOLIC PROCESS,GOBP,GO:0009150,0,0,2.308094304,0,0,0,0,3.099516212,0,4.72128428
REGULATION OF TRANSLATION,GOBP,GO:0006417,0,0,2.707732215,1.774645165,0,0,0,0,0,2.725606002
CELLULAR RESPONSE TO UV,GOBP,GO:0034644,0,0,1.588326102,0,0,0,0,1.52537896,2.290491331,0
LIMBIC SYSTEM DEVELOPMENT,GOBP,GO:0021761,0,1.392766723,3.036491428,0,0,2.414564588,0,0,0,0
3'-UTR-MEDIATED MRNA DESTABILIZATION,GOBP,GO:0061158,2.125917551,0,0,0,0,0,0,4.232047028,1.443917037,0
REGULATION OF GLUCOSE METABOLIC PROCESS,GOBP,GO:0010906,0,1.563549494,0,1.987400617,2.374829239,0,0,0,0,0
REGULATION OF EPITHELIAL CELL MIGRATION,GOBP,GO:0010632,0,0,2.207954957,1.333107395,0,0,0,0,0,1.753084386
HISTONE LYSINE DEMETHYLATION,GOBP,GO:0070076,1.450351566,0,0,1.630753709,0,0,0,0,0,2.309315962
REGULATION OF EPIDERMIS DEVELOPMENT,GOBP,GO:0045682,0,0,0,0,1.345192323,3.62601637,1.82931357,0,0,0
REGULATION OF TOR SIGNALING,GOBP,GO:0032006,0,0,4.222765332,0,0,0,0,1.830196959,0,2.100528242
ALPHA-AMINO ACID BIOSYNTHETIC PROCESS,GOBP,GO:1901607,0,0,0,0,0,0,0,2.694268507,1.482323001,1.678374641
POSITIVE REGULATION OF CELLULAR CARBOHYDRATE METABOLIC PROCESS,GOBP,GO:0010676,1.307099215,2.521241726,0,0,1.818959608,0,0,0,0,0
VIRAL GENE EXPRESSION,GOBP,GO:0019080,0,1.940326339,0,0,0,0,0,4.916612874,0,31.4813939
RESPONSE TO TOPOLOGICALLY INCORRECT PROTEIN,GOBP,GO:0035966,0,0,0,0,0,0,0,1.578152781,2.190580297,2.347908198
RNA TRANSPORT,GOBP,GO:0050658,0,0,4.303957447,0,0,0,0,1.873409425,0,4.31295759
ENTRY INTO HOST,GOBP,GO:0044409,1.304393759,0,1.453715072,1.594414648,0,0,0,0,0,0
RRNA METABOLIC PROCESS,GOBP,GO:0016072,0,1.486445529,0,0,0,0,0,1.993351976,0,16.43521969
MYD88-DEPENDENT TOLL-LIKE RECEPTOR SIGNALING PATHWAY,GOBP,GO:0002755,0,1.37445083,0,0,1.491294567,0,0,1.327097371,0,0
RESPIRATORY CHAIN COMPLEX,GOCC,GO:0098803,0,0,1.306173363,0,0,0,0,3.4073219,0,12.07764313
MITOCHONDRIAL MEMBRANE PART,GOCC,GO:0044455,0,0,2.537130186,0,0,0,0,1.570452235,0,7.225311102
NUCLEAR TRANSCRIPTION FACTOR COMPLEX,GOCC,GO:0044798,0,1.324551948,3.201520828,1.392242975,0,0,0,0,0,0
NUCLEOID,GOCC,GO:0009295,0,1.614628412,0,1.898639704,0,0,0,0,0,1.724722661
MITOCHONDRIAL NUCLEOID,GOCC,GO:0042645,0,1.614628412,0,1.898639704,0,0,0,0,0,1.724722661
SEMAPHORIN RECEPTOR COMPLEX,GOCC,GO:0002116,0,2.64897746,0,2.896343715,0,0,0,0,1.806701649,0
NUCLEAR MEMBRANE,GOCC,GO:0031965,0,0,2.092925661,3.334214071,0,0,0,0,0,1.345967249
CORTICAL CYTOSKELETON,GOCC,GO:0030863,0,1.323539892,1.97154865,0,0,0,0,0,1.96927342,0
SYNAPTIC VESICLE,GOCC,GO:0008021,1.624142989,1.530406291,2.498442725,0,0,0,0,0,0,0
TERTIARY GRANULE,GOCC,GO:0070820,1.328467801,0,1.59741059,0,0,0,0,0,2.035016858,0
RESPIRATORY CHAIN,GOCC,GO:0070469,0,0,1.681511471,0,0,0,0,3.52089243,0,10.81221777
OUTER MEMBRANE,GOCC,GO:0019867,0,2.774309373,1.398298751,0,0,0,0,1.802333934,0,0
MITOCHONDRIAL LARGE RIBOSOMAL SUBUNIT,GOCC,GO:0005762,0,0,2.269884299,0,0,0,0,2.427368893,0,3.466688738
TRANSPORT VESICLE MEMBRANE,GOCC,GO:0030658,1.572128305,2.263161248,2.40338449,0,0,0,0,0,0,0
SARCOLEMMA,GOCC,GO:0042383,1.361200057,0,2.770403057,0,0,1.982149679,0,0,0,0
CULLIN-RING UBIQUITIN LIGASE COMPLEX,GOCC,GO:0031461,2.18354683,0,2.305252908,1.698251763,0,0,0,0,0,0
EXTRINSIC COMPONENT OF MEMBRANE,GOCC,GO:0019898,1.781938509,0,1.716451901,0,0,0,2.034777722,0,0,0
PROTON-TRANSPORTING V-TYPE ATPASE COMPLEX,GOCC,GO:0033176,0,1.529267464,1.425245797,0,0,0,0,1.480518415,0,0
ORGANELLE OUTER MEMBRANE,GOCC,GO:0031968,0,2.810822797,1.429370387,0,0,0,0,1.830128738,0,0
MYOSIN COMPLEX,GOCC,GO:0016459,0,0,0,0,1.650449955,2.063907827,0,0,2.195293487,0
CYTOPLASMIC SIDE OF MEMBRANE,GOCC,GO:0098562,0,0,2.019884724,0,1.519836619,0,0,1.536944516,0,0
MITOCHONDRIAL RESPIRATORY CHAIN,GOCC,GO:0005746,0,0,2.07954902,0,0,0,0,4.025096208,0,11.89361296
CYTOSOLIC RIBOSOME,GOCC,GO:0022626,0,2.817849638,0,0,0,0,0,3.925112834,0,28.73775083
RIBONUCLEOPROTEIN GRANULE,GOCC,GO:0035770,0,0,3.453848653,2.2526655,0,0,0,0,0,1.505902722
CYTOPLASMIC STRESS GRANULE,GOCC,GO:0010494,1.407517261,0,4.840924785,2.979461676,0,0,0,0,0,0
UBIQUITIN LIGASE COMPLEX,GOCC,GO:0000151,1.627991518,0,1.971274021,1.782482672,0,0,0,0,0,0
PALMITOYLTRANSFERASE COMPLEX,GOCC,GO:0002178,0,1.524763654,1.874509845,0,0,0,0,1.489421267,0,0
COATED VESICLE,GOCC,GO:0030135,1.861660903,0,2.092925661,1.356160442,0,0,0,0,0,0
SYNAPTIC MEMBRANE,GOCC,GO:0097060,1.747110377,2.245869466,2.002379459,0,0,0,0,0,0,0
TOR COMPLEX,GOCC,GO:0038201,0,0,2.33846152,0,2.096313637,0,0,0,0,1.333328668
POLYSOME,GOCC,GO:0005844,0,0,1.817318118,0,0,0,0,2.694268507,0,9.355523132
"TRANSFERASE COMPLEX, TRANSFERRING PHOSPHORUS-CONTAINING GROUPS",GOCC,GO:0061695,0,0,2.227243521,2.133788626,0,0,0,0,0,1.41095883
NUCLEAR ENVELOPE,GOCC,GO:0005635,0,0,0,3.999271438,0,0,0,0,1.421485561,1.624881429
CYTOSOLIC PART,GOCC,GO:0044445,0,1.375971751,0,0,0,0,0,2.728316281,0,18.26845233
CYTOSOLIC LARGE RIBOSOMAL SUBUNIT,GOCC,GO:0022625,0,1.850057805,0,0,0,0,0,1.775078243,0,18.09647663
PRESYNAPSE,GOCC,GO:0098793,2.081100779,1.64598354,2.686338083,0,0,0,0,0,0,0
EXOCYTIC VESICLE,GOCC,GO:0070382,1.403153655,1.66042885,2.773715649,0,0,0,0,0,0,0
ORGANELLAR LARGE RIBOSOMAL SUBUNIT,GOCC,GO:0000315,0,0,2.269884299,0,0,0,0,2.427368893,0,3.466688738
CLEAVAGE FURROW,GOCC,GO:0032154,1.354763259,1.912913445,2.366310188,0,0,0,0,0,0,0
PCG PROTEIN COMPLEX,GOCC,GO:0031519,0,2.237707479,0,1.832605121,0,1.459361876,0,0,0,0
ENDOCYTIC VESICLE,GOCC,GO:0030139,3.251992553,0,2.550831596,0,0,0,0,0,1.425605739,0
GROWTH CONE,GOCC,GO:0030426,1.928545553,0,1.631249082,1.928645022,0,0,0,0,0,0
TORC2 COMPLEX,GOCC,GO:0031932,0,0,2.72931554,0,2.290170519,0,0,0,0,1.515134415
CYTOSOLIC SMALL RIBOSOMAL SUBUNIT,GOCC,GO:0022627,0,1.55157572,0,0,0,0,0,2.91022916,0,11.86295385
CENTRIOLAR SATELLITE,GOCC,GO:0034451,0,1.753891326,0,0,1.792814995,0,0,0,2.540949045,0
DISTAL AXON,GOCC,GO:0150034,1.627991518,0,1.971274021,1.436709131,0,0,0,0,0,0
CYCLIN-DEPENDENT PROTEIN KINASE ACTIVITY,GOMF,GO:0097472,0,0,1.326045637,1.669973998,0,0,0,2.177083827,0,0
IRON ION BINDING,GOMF,GO:0005506,0,0,0,2.969664455,0,0,0,1.766447895,1.758817489,0
HISTONE ACETYLTRANSFERASE BINDING,GOMF,GO:0035035,0,0,2.08703644,0,0,0,0,1.480518415,0,2.479053361
INTEGRIN BINDING,GOMF,GO:0005178,0,0,0,0,2.035390417,3.554820764,1.300358272,0,0,0
CARBON-CARBON LYASE ACTIVITY,GOMF,GO:0016830,0,0,1.862588498,1.600641926,0,0,0,0,1.809899173,0
HORMONE RECEPTOR BINDING,GOMF,GO:0051427,2.985662486,0,2.08517539,2.019614101,0,0,0,0,0,0
HISTONE DEMETHYLASE ACTIVITY,GOMF,GO:0032452,1.450351566,0,0,1.630753709,0,0,0,0,0,2.309315962
CARBOXY-LYASE ACTIVITY,GOMF,GO:0016831,0,0,2.94397405,1.455943814,1.394463541,0,0,0,0,0
BHLH TRANSCRIPTION FACTOR BINDING,GOMF,GO:0043425,1.569726338,1.529267464,0,2.668066148,0,0,0,0,0,0
RNA POLYMERASE II TRANSCRIPTION COFACTOR BINDING,GOMF,GO:0001224,0,0,1.657531104,1.945145711,0,2.029974299,0,0,0,0
FATTY ACID BINDING,GOMF,GO:0005504,0,0,0,0,0,1.591994414,1.654117229,0,2.304741976,0
PHOSPHATIDYLINOSITOL 3-KINASE ACTIVITY,GOMF,GO:0035004,0,1.452757058,0,0,0,0,0,1.417734802,0,1.515134415
AMYLOID-BETA BINDING,GOMF,GO:0001540,2.283080136,0,1.645402778,0,1.345192323,0,0,0,0,0
ACTIVATING TRANSCRIPTION FACTOR BINDING,GOMF,GO:0033613,1.933457382,1.862084181,0,0,0,0,0,0,0,1.452613452
ACTIN-DEPENDENT ATPASE ACTIVITY,GOMF,GO:0030898,0,0,0,0,1.699855185,1.993987485,0,0,2.067375828,0
TRANSCRIPTION COFACTOR BINDING,GOMF,GO:0001221,0,1.704968983,0,3.554059005,0,0,0,0,0,1.836740378
CULLIN FAMILY PROTEIN BINDING,GOMF,GO:0097602,0,1.617703746,1.535095754,1.844791892,0,0,0,0,0,0
MRNA 3'-UTR AU-RICH REGION BINDING,GOMF,GO:0035925,3.62228986,0,1.594599282,0,0,0,0,5.708750496,0,0
SERINE-TYPE PEPTIDASE ACTIVITY,GOMF,GO:0008236,0,1.361299615,0,1.4269747,0,0,0,0,1.757787176,0
DOUBLE-STRANDED RNA BINDING,GOMF,GO:0003725,0,0,2.41593026,1.64750945,1.463786659,0,0,0,0,0
CYCLIN-DEPENDENT PROTEIN SERINE/THREONINE KINASE INHIBITOR ACTIVITY,GOMF,GO:0004861,0,0,0,0,0,4.273268583,0,1.417734802,1.732605042,0
SERINE HYDROLASE ACTIVITY,GOMF,GO:0017171,0,1.336686549,0,1.4037183,0,0,0,0,1.732541489,0
CARGO RECEPTOR ACTIVITY,GOMF,GO:0038024,2.256007839,0,0,0,1.332948637,0,1.816086989,0,0,0
SEMAPHORIN RECEPTOR ACTIVITY,GOMF,GO:0017154,0,2.532178364,0,2.778071962,0,0,0,0,1.732605042,0
NUCLEAR HORMONE RECEPTOR BINDING,GOMF,GO:0035257,2.675210095,0,1.808868774,2.619113641,0,0,0,0,0,0
PROTEIN KINASE INHIBITOR ACTIVITY,GOMF,GO:0004860,0,0,0,0,0,4.10318296,0,2.022533092,2.114461479,0
UBIQUITINATION-LIKE MODIFICATION-DEPENDENT PROTEIN BINDING,GOMF,GO:0140035,1.416082676,1.387365162,1.666463967,0,0,0,0,0,0,0
1-PHOSPHATIDYLINOSITOL-3-KINASE ACTIVITY,GOMF,GO:0016303,0,1.604723351,0,0,0,0,0,1.569059313,0,1.668171877
CYCLIN-DEPENDENT PROTEIN SERINE/THREONINE KINASE ACTIVITY,GOMF,GO:0004693,0,0,1.326045637,1.669973998,0,0,0,2.177083827,0,0
MIRNA BINDING,GOMF,GO:0035198,0,1.339616982,0,0,0,0,0,2.023780656,0,1.423960828
HISTONE DEMETHYLASE ACTIVITY (H3-K9 SPECIFIC),GOMF,GO:0032454,1.356027339,0,0,1.484598306,0,0,0,0,0,1.388876933
UBIQUITIN PROTEIN LIGASE BINDING,GOMF,GO:0031625,0,1.466034527,3.092832024,0,0,0,0,0,0,1.38306293
"INTRAMOLECULAR TRANSFERASE ACTIVITY, PHOSPHOTRANSFERASES",GOMF,GO:0016868,0,0,1.874509845,0,0,0,0,2.594468498,0,1.587675409
"OXIDOREDUCTASE ACTIVITY, ACTING ON PAIRED DONORS, WITH INCORPORATION OR REDUCTION OF MOLECULAR OXYGEN",GOMF,GO:0016705,0,0,0,3.851531892,0,0,0,1.970134003,2.065466373,0
ELECTRON TRANSFER ACTIVITY,GOMF,GO:0009055,0,0,1.309672766,0,0,0,0,1.786037081,0,4.674322493
RNA POLYMERASE II ACTIVATING TRANSCRIPTION FACTOR BINDING,GOMF,GO:0001102,1.541812935,2.909682369,0,1.770067736,0,0,0,0,0,0
AU-RICH ELEMENT BINDING,GOMF,GO:0017091,3.62228986,0,1.594599282,0,0,0,0,5.708750496,0,0
KINASE INHIBITOR ACTIVITY,GOMF,GO:0019210,0,0,0,0,0,3.9860502,0,1.908096974,2.013365931,0
PHOSPHATASE BINDING,GOMF,GO:0019902,0,0,1.610324683,1.303961787,0,0,0,0,3.112813011,0
PHOSPHATIDYLINOSITOL BINDING,GOMF,GO:0035091,1.605605169,0,0,0,1.500220553,1.598081151,0,0,0,0
PROTEASOMAL PROTEIN CATABOLIC PROCESS,GOBP,GO:0010498,0,0,3.271693464,0,0,0,0,1.69158225,0,0
REGULATION OF SYNAPTIC VESICLE RECYCLING,GOBP,GO:1903421,0,2.483213513,2.234611439,0,0,0,0,0,0,0
DNA PACKAGING,GOBP,GO:0006323,0,0,0,0,0,1.49728647,2.295396593,0,0,0
ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS ANTIGEN,GOBP,GO:0019883,1.658721682,0,1.535095754,0,0,0,0,0,0,0
CALCIUM ION HOMEOSTASIS,GOBP,GO:0055074,1.740372778,1.601707458,0,0,0,0,0,0,0,0
VITAMIN METABOLIC PROCESS,GOBP,GO:0006766,0,0,0,0,0,0,0,1.32698207,3.393399939,0
REGULATION OF KERATINOCYTE PROLIFERATION,GOBP,GO:0010837,0,0,0,0,0,2.84629021,0,3.565520823,0,0
REGULATION OF EARLY ENDOSOME TO LATE ENDOSOME TRANSPORT,GOBP,GO:2000641,0,0,2.791520799,0,0,0,0,0,2.358791823,0
HIGH-DENSITY LIPOPROTEIN PARTICLE REMODELING,GOBP,GO:0034375,2.054524828,0,0,0,0,0,0,0,1.397802534,0
CHOLESTEROL TRANSPORT,GOBP,GO:0030301,2.5607003,0,0,0,0,0,1.336971349,0,0,0
GLUTATHIONE BIOSYNTHETIC PROCESS,GOBP,GO:0006750,0,0,1.420581801,0,0,0,0,0,1.493228863,0
STRIATED MUSCLE TISSUE DEVELOPMENT,GOBP,GO:0014706,0,0,0,0,0,2.133826022,0,0,0,1.312358539
HEMOSTASIS,GOBP,GO:0007599,0,0,0,0,0,0,2.068261734,0,2.131026551,0
CELL-CELL RECOGNITION,GOBP,GO:0009988,1.95950243,0,0,0,0,0,1.971984174,0,0,0
LOCOMOTORY BEHAVIOR,GOBP,GO:0007626,2.774854086,2.652005151,0,0,0,0,0,0,0,0
REGULATION OF B CELL DIFFERENTIATION,GOBP,GO:0045577,1.413801896,0,0,0,0,0,0,1.327097371,0,0
REGULATION OF HISTONE DEACETYLATION,GOBP,GO:0031063,1.528193973,0,0,0,0,0,0,0,1.88092342,0
CELL DIVISION,GOBP,GO:0051301,0,0,1.553478649,0,0,7.04090435,0,0,0,0
POSITIVE REGULATION OF NUCLEOTIDE BIOSYNTHETIC PROCESS,GOBP,GO:0030810,0,0,0,0,0,0,0,1.553379379,0,2.464582651
SULFATION,GOBP,GO:0051923,0,0,0,0,1.699855185,0,2.058108121,0,0,0
REGULATION OF PROTEIN SUMOYLATION,GOBP,GO:0033233,1.706522059,0,0,0,0,0,0,1.61541563,0,0
NEGATIVE REGULATION OF CATABOLIC PROCESS,GOBP,GO:0009895,0,2.575800872,2.338862779,0,0,0,0,0,0,0
REGULATION OF CELL PROJECTION ASSEMBLY,GOBP,GO:0060491,0,0,3.652916297,0,0,0,0,0,1.428465746,0
REGULATION OF CELL-SUBSTRATE JUNCTION ASSEMBLY,GOBP,GO:0090109,0,0,1.929168739,3.426099126,0,0,0,0,0,0
NEGATIVE REGULATION OF MITOTIC SISTER CHROMATID SEGREGATION,GOBP,GO:0033048,0,0,0,0,1.465827043,2.960669195,0,0,0,0
RESPONSE TO GROWTH HORMONE,GOBP,GO:0060416,0,0,2.94397405,1.455943814,0,0,0,0,0,0
MAMMARY GLAND DUCT MORPHOGENESIS,GOBP,GO:0060603,0,0,2.08703644,1.753520015,0,0,0,0,0,0
GLYCEROLIPID METABOLIC PROCESS,GOBP,GO:0046486,0,0,1.618692615,0,0,2.414196546,0,0,0,0
POSITIVE REGULATION OF MULTICELLULAR ORGANISM GROWTH,GOBP,GO:0040018,0,2.243985739,0,0,0,1.835365545,0,0,0,0
INTERLEUKIN-12-MEDIATED SIGNALING PATHWAY,GOBP,GO:0035722,0,0,0,0,0,0,1.520563192,0,1.315979091,0
REGULATION OF STEM CELL DIFFERENTIATION,GOBP,GO:2000736,2.681759308,0,0,0,0,0,0,0,0,2.239505909
GLIAL CELL MIGRATION,GOBP,GO:0008347,0,0,1.618177037,0,1.394463541,0,0,0,0,0
RIBOSOME ASSEMBLY,GOBP,GO:0042255,0,0,0,0,0,0,0,2.178899304,0,8.65366596
REGULATION OF HIPPO SIGNALING,GOBP,GO:0035330,0,0,1.870486737,0,0,0,0,0,1.313792885,0
REGULATION OF G2/M TRANSITION OF MITOTIC CELL CYCLE,GOBP,GO:0010389,0,0,0,0,0,2.045714296,0,2.617653994,0,0
CELLULAR PROCESS INVOLVED IN REPRODUCTION IN MULTICELLULAR ORGANISM,GOBP,GO:0022412,0,1.788170694,0,0,0,0,2.948956031,0,0,0
CELLULAR AMINO ACID METABOLIC PROCESS,GOBP,GO:0006520,0,0,0,0,0,0,0,2.108570027,1.303243225,0
MODULATION BY SYMBIONT OF HOST CELLULAR PROCESS,GOBP,GO:0044068,0,1.909342171,0,0,0,0,0,0,0,2.02444062
MEMBRANE DOCKING,GOBP,GO:0022406,0,0,0,0,0,0,0,1.337140937,1.39367694,0
TRICARBOXYLIC ACID CYCLE,GOBP,GO:0006099,0,0,2.306934334,0,0,0,0,0,0,1.357099221
POSITIVE REGULATION OF CELLULAR RESPONSE TO INSULIN STIMULUS,GOBP,GO:1900078,0,0,1.535095754,1.844791892,0,0,0,0,0,0
INTRACELLULAR CHOLESTEROL TRANSPORT,GOBP,GO:0032367,0,0,0,0,1.894864537,0,2.257676125,0,0,0
REGULATION OF CELLULAR RESPONSE TO HEAT,GOBP,GO:1900034,0,0,0,0,0,0,0,0,2.546710796,1.990575991
RNA SURVEILLANCE,GOBP,GO:0071025,1.300756072,0,0,0,0,0,0,2.187901381,0,0
POSITIVE REGULATION OF EXOCYTOSIS,GOBP,GO:0045921,0,1.67158338,1.674767145,0,0,0,0,0,0,0
